SKU,ItemDescription,CumulativeUnitsCanada,Province,CustomerNo,CustomerName,SalesRep,Currency,PostingDate,OrderQuantity,AmountExclVAT,AmountInclVAT
12052-02,"Teramo, 8 Light LED Chandelier, Matte Black ",2,BC,C00361,Norburn Lighting ,MR - Luminescence,CAD,2025-06-13,1.0,679.0,712.95
12052-037,"Teramo, 8 Light LED Chandelier, Brushed Brass",1,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-01-27,1.0,1023.0,1074.15
12053-037,"Teramo, 10 Light LED Chandelier, Brushed Brass",1,BC,C00300,Robinson - Surrey,MR - Luminescence,CAD,2025-04-25,1.0,1026.0,1077.3
12054-037,"Corato, 12 Light Chandelier, Brushed Brass",5,AB,C00474,Vivid Concepts Inc. - Edmonton,MR - Luminescence,CAD,2025-10-31,1.0,912.8,958.44
12054-037,"Corato, 12 Light Chandelier, Brushed Brass",5,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-01-20,1.0,1320.0,1386.0
12054-037,"Corato, 12 Light Chandelier, Brushed Brass",5,BC,C00125,Ocean Pacific Lighting Inc.-Showroom,MR - Luminescence,CAD,2025-08-08,1.0,1141.0,1198.05
12054-037,"Corato, 12 Light Chandelier, Brushed Brass",5,BC,C00426,Robinson Lighting -Kelowna,MR - Luminescence,CAD,2025-06-06,2.0,2282.0,2396.1
12054-039,"Corato, 12 Light Chandelier, Brushed Brass with Translucent White Glass",7,BC,C00361,Norburn Lighting ,MR - Luminescence,CAD,2025-10-31,1.0,798.7,838.64
12054-039,"Corato, 12 Light Chandelier, Brushed Brass with Translucent White Glass",7,BC,C00300,Robinson - Surrey,MR - Luminescence,CAD,2025-10-31,1.0,1141.0,1198.05
12054-039,"Corato, 12 Light Chandelier, Brushed Brass with Translucent White Glass",7,BC,C00300,Robinson - Surrey,MR - Luminescence,CAD,2025-06-13,1.0,1141.0,1198.05
